TERYT,Rok,Frekwencja,MalTys,BudzM,BezPro,WspFem,WspObc,AptOs,PowUzM,BibM,WspSko,PodTys,OsbKM,WspX,WspY
020101,0,39.0881584,5.1,1940,10.6,113,52.8,2411,60.9,20492,102.43,113,1797,15.56109719,51.26070008
020102,0,31.62602492,4.9,1725,12.4,101,53.7,12289,104.6,2458,85.46,61,43,15.57423414,51.30858257
020103,0,34.09352684,5.1,1830,15.9,99,59.5,5586,83.6,2793,96.91,51,21,15.73585682,51.40781687
020104,0,29.62340877,4.9,1647,13.4,103,59.1,3682,82,2946,104,45,84,15.36723423,51.21381796
020105,0,29.74197361,4,3124,15.4,101,59.3,7064,71,1177,98.44,45,16,15.41624342,51.39110647
020106,0,32.40987984,6.5,2198,15,100,53,3845,79.6,1922,100.37,46,69,15.70164091,51.23682621
020301,0,39.80483239,6.4,1884,11.2,107,42.4,2659,57.6,17285,105.01,100,1955,16.05016649,51.66929681
020302,0,34.7605225,5,2145,14.1,103,58.4,0,88.5,1358,83.92,64,64,16.13669661,51.67087805
020303,0,34.91250534,5.2,3829,14.1,110,61.3,0,89.9,1568,92,60,49,16.04405245,51.59441221
020304,0,32.24463657,3.7,1910,16.1,104,60.9,4121,81.6,1374,94.46,51,32,16.04206008,51.73975478
020305,0,33.76770538,8.5,2027,21.4,96,61.7,0,70.7,1158,90.43,52,36,16.25901398,51.64523975
020306,0,28.65044248,8.3,1762,16.2,95,55.8,3529,84,882,106.52,56,52,15.94209636,51.67024279
020501,0,38.6556697,6.7,1721,15.4,108,48.4,2442,62.4,12208,108.56,108,1299,16.18641323,51.0681675
020502,0,34.10826968,3.9,1471,22.6,103,58.1,5531,71.8,2765,102.37,57,72,16.0735353,50.91995144
020503,0,27.71595125,6.7,1963,17.4,99,59.5,0,85.3,682,78.18,58,32,16.06545955,51.06240183
020504,0,38.94157235,5.4,1715,17.8,105,61.8,4054,74.4,1351,90.07,67,56,16.26469611,51.05772249
020505,0,30.60303128,4.4,1767,14.4,98,53.6,3853,86.7,771,85.2,65,38,16.13212976,50.99725415
020506,0,28.09583074,5.6,1749,15.4,101,60.2,2028,85,2028,95.15,68,45,16.3691441,51.10132379
020601,0,35.65391459,3.8,3976,13.1,117,49.8,2529,79.8,5058,128.37,198,133,15.7410351,50.76246715
020602,0,33.28657315,6,1454,11.4,115,53,2970,61.7,5941,93.96,114,318,15.84071756,50.78086277
020603,0,36.38032305,4.5,1544,11.5,110,48.9,3256,72.7,6512,98.98,118,150,15.58018073,50.83144457
020604,0,37.42519812,4.6,2403,12.2,115,50.3,3553,75.7,7106,90.02,155,94,15.46261155,50.81878773
