TERYT,Gmina,Rok,Frekwencja,MalTys,BudzM,BezPro,WspFem,WspObc,AptOs,PowUzM,BibM,WspSko,PodTys,OsbKM,WspX,WspY
020101,m. Bolesławiec,3,48.94545686,4.9,3653.29,4.1,112,64.4,2187,63.2,19687,104.56,117,1670,15.56109719,51.26070008
020102,gm. Bolesławiec,3,43.04756688,5,3179.2,3.9,101,50.7,7052,118.7,2351,64.86,91,49,15.57423414,51.30858257
020103,gm. Gromadka,3,41.38389887,6.2,3595.3,5.3,100,54.1,5438,89.9,2719,88.63,59,20,15.73585682,51.40781687
020104,gm. Nowogrodziec,3,35.68610995,5.4,2605,3.8,103,53.7,3820,89.5,3056,83.29,69,87,15.36723423,51.21381796
020105,gm. Osiecznica,3,39.14956012,5,4108.96,4.7,98,55.3,7490,76.5,1248,100.3,69,17,15.41624342,51.39110647
020106,gm. Warta Bolesławiecka,3,38.24011931,3.3,3396.87,4.1,101,54.6,8513,83.8,2128,87.98,66,77,15.70164091,51.23682621
020201,m. Bielawa,3,43.83835157,4.8,3783.89,4.7,114,61,3065,56.2,30652,87.93,96,847,16.60341523,50.67572721
020202,m. Dzierżoniów,3,49.07088782,4.1,2767.18,5.4,113,65,1997,58,16973,96.38,123,1691,16.64930159,50.73120085
020203,m. Pieszyce,3,41.49934811,4.1,2919.24,6,106,58.5,1926,67.1,4814,75.47,105,151,16.55293857,50.70538357
020204,m. Piława Górna,3,40.93578329,4,2555.23,6.9,109,54.9,3317,63,0,88.68,92,317,16.7559262,50.68294166
020205,gm. Dzierżoniów,3,43.7777198,4.1,3349.57,6.2,102,53.9,9250,90.2,1321,67.05,88,66,16.66022622,50.73413989
020206,gm. Łagiewniki,3,41.29827445,6.4,3325.56,4.1,104,56.8,3771,88.7,1885,89.49,73,60,16.78211746,50.7964921
020207,gm. Niemcza,3,40.75789474,2.8,2714.61,5.8,100,56.8,2850,71.1,1425,82.02,88,79,16.82196386,50.71536681
020301,m. Głogów,3,51.64380256,4.8,3611.93,6,108,61.5,2747,58.2,17167,98.13,97,1956,16.05016649,51.66929681
020302,gm. Głogów,3,50.8477842,4.5,4200.02,7,101,51.5,6538,100.4,3269,63.74,90,77,16.13669661,51.67087805
020303,gm. Jerzmanowa,3,54.2520348,4,7682.13,5.6,98,54.8,4743,109.5,2372,78.47,83,75,16.04405245,51.59441221
020304,gm. Kotla,3,39.82404692,4,4222.99,9.2,100,58.5,4461,86.5,1487,78.45,54,35,16.04206008,51.73975478
020305,gm. Pęcław,3,42.10230467,5.7,4867.08,12.4,95,55.2,0,74.9,760,88.24,60,35,16.25901398,51.64523975
020306,gm. Żukowice,3,41.43786127,3.7,3885.5,9.5,94,54.2,3516,91.3,879,76.1,72,52,15.94209636,51.67024279
020401,gm. Góra,3,40.20644198,4.4,3335.64,11,104,59,3404,74.5,5107,92.78,90,77,16.54846356,51.67870963
020402,gm. Jemielno,3,34.32835821,5.1,3461.26,13.7,100,60.1,0,85.6,1043,71.54,56,25,16.51541378,51.55746017
020403,gm. Niechlów,3,33.66361789,5.9,3461.25,11.6,100,57.1,0,80.8,2502,72.63,53,33,16.38917651,51.69157364
020404,gm. Wąsosz,3,36.24893436,4.9,3502.73,11.3,101,60.6,2460,80.6,3690,91.33,75,37,16.7133543,51.56741259
020501,m. Jawor,3,46.55014268,5,3033.8,6.5,108,56,2150,63.7,11825,99.3,118,1258,16.18641323,51.0681675
020502,gm. Bolków,3,39.08641123,3.9,2846.15,13.4,103,59.7,3572,75,1786,79.65,91,70,16.0735353,50.91995144
020503,gm. Męcinka,3,41.73648134,5.4,3718.54,9.2,99,58.5,0,95.9,829,76.18,71,34,16.06545955,51.06240183
020504,gm. Mściwojów,3,41.93154034,3.8,5335.67,9.2,100,58,4125,76.7,2063,57.76,81,57,16.26469611,51.05772249
020505,gm. Paszowice,3,41.45579506,5.3,3519.63,7.6,94,51.5,0,95.9,665,60.9,86,39,16.13212976,50.99725415
020506,gm. Wądroże Wielkie,3,39.58775386,2.5,3273.98,6.4,102,57.3,0,89.3,2001,87.79,84,45,16.3691441,51.10132379
020601,m. Karpacz,3,49.36708861,4.9,6784.95,5,113,53.9,4882,84.3,4882,133.68,795,129,15.7410351,50.76246715
020602,m. Kowary,3,42.88707543,3.5,2873.44,6.6,110,61,2822,63.1,5644,82.14,117,302,15.84071756,50.78086277
020603,m. Piechowice,3,46.79756005,4.6,3244.48,4.7,109,59.3,3222,76.5,6443,82.38,121,149,15.58018073,50.83144457
020604,m. Szklarska Poręba,3,47.09407919,5,5678.17,5.4,115,56.3,2234,77.5,6703,78.32,192,89,15.46261155,50.81878773
020605,gm. Janowice Wielkie,3,44.16068867,5.8,3285.75,7.1,96,52.7,2160,88,1080,71.06,129,75,15.90388844,50.89226571
020606,gm. Jeżów Sudecki,3,46.64411608,4.9,3434.16,4.8,107,54.8,7146,107.3,2382,49.07,119,76,15.73951159,50.95672318
020607,gm. Mysłakowice,3,44.34803862,4.6,3284.53,6.9,106,56.3,5138,75.9,3425,78.75,95,117,15.83188171,50.84674116
020608,gm. Podgórzyn,3,45.36813518,4.4,2920.3,6.2,102,56.2,8270,93.4,1654,67.05,131,100,15.70598894,50.81014186
020609,gm. Stara Kamienica,3,41.14149822,4.3,3851.51,6.9,102,52.6,5274,92.3,1758,91.71,92,48,15.5618927,50.89650967
020701,m. Kamienna Góra,3,44.96681416,4.3,2895.44,6.1,108,63.2,2458,53.8,6554,91.19,116,1090,16.02657191,50.78244153
020702,gm. Kamienna Góra,3,44.74547269,5.5,3254.89,5.3,100,52.4,0,85,2253,75.64,79,57,16.01744075,50.7529555
020703,gm. Lubawka,3,45.97764139,5.7,3180.91,5.2,105,56.9,5572,67.7,5572,89.13,87,81,15.96830492,50.69332947
020704,gm. Marciszów,3,37.25227638,5.2,3348.07,6.9,99,55.2,0,69.8,1528,79.45,78,56,16.01929946,50.85592971
020801,m. Duszniki-Zdrój,3,47.85731386,4.6,4604.79,10.9,113,67.4,2394,59.6,2394,87.73,135,215,16.38319877,50.36921324
020802,m. Kłodzko,3,47.99172936,3.5,2955.7,9.4,113,65.1,1844,62.6,6914,104.63,160,1113,16.64483997,50.43670362
020803,m. Kudowa-Zdrój,3,47.85046729,3.7,3438.5,11.8,110,62.9,3393,68.5,10180,90.29,102,300,16.25871541,50.45019519
020804,m. Nowa Ruda,3,43.0051541,4.5,2903.79,8.8,109,62.3,2075,58.6,3804,81.72,113,616,16.52105806,50.57111914
020805,m. Polanica-Zdrój,3,50.77131717,3.8,3745.75,9.5,119,68.3,1304,75.1,3261,102.82,164,379,16.50146226,50.39945336
020806,gm. Bystrzyca Kłodzka,3,43.35792195,4,3176.39,10.5,107,59.7,3223,71.1,2418,82.73,102,57,16.63306461,50.29044365
020807,gm. Kłodzko,3,42.38315061,4.3,3019.93,10.7,102,54.5,17234,76,957,64.48,71,68,16.65516594,50.43188818
020808,gm. Lądek-Zdrój,3,45.69745136,3.4,3130.82,8,112,58.6,2825,73.8,2825,79.79,112,72,16.83732747,50.34889145
020809,gm. Lewin Kłodzki,3,37.97865662,4.7,4986.63,14.3,105,52.6,0,72.5,1938,86.84,132,37,16.30068123,50.41212845
020810,gm. Międzylesie,3,38.04311774,5.3,3234.79,11.2,101,56,7366,79.6,1842,83.71,71,39,16.67990009,50.17345153
020811,gm. Nowa Ruda,3,39.20863309,4.2,3263.06,9.9,101,54.6,11879,72.7,1980,91.72,67,85,16.52038592,50.59700917
020812,gm. Radków,3,39.06291834,6.4,4264.12,10.3,100,53.9,9198,76.3,1533,84.11,84,66,16.44165206,50.50499349
020813,gm. Stronie Śląskie,3,41.43936904,4.3,3156.17,9.5,106,56,2541,65.8,7623,84.88,97,52,16.91059803,50.26461663
020814,gm. Szczytna,3,39.13409704,3.9,2735.89,10.7,99,55.1,3723,72.8,3723,72.98,89,56,16.43436933,50.41035814
020901,m. Chojnów,3,43.06107698,6.5,3175.01,9.4,111,55.5,1975,63.4,13825,103.4,94,2599,15.93509013,51.27280109
020902,gm. Chojnów,3,38.93630991,4.7,3145.29,9.9,97,54.8,0,90.4,1592,60.66,71,41,15.9025928,51.29055569
020903,gm. Krotoszyce,3,46.37681159,5.2,4357.36,5.3,104,52.9,0,97.7,1632,74.44,81,48,16.08795025,51.15161342
020904,gm. Kunice,3,52.23519936,4.8,3574.83,5.1,103,52.1,6559,110.2,2186,61.89,118,71,16.27154275,51.23736755
020905,gm. Legnickie Pole,3,46.71784013,4.3,4172.25,4.6,113,61.5,0,91.9,1726,84.07,82,61,16.24456715,51.14919992
020906,gm. Miłkowice,3,47.90580969,4.9,3268.29,7,102,57.1,6531,87.8,2177,69.5,94,75,16.10386872,51.25122289
020907,gm. Prochowice,3,45.59920438,4.1,3465.46,5.5,103,56.4,3739,86.5,2493,89.53,98,73,16.38065997,51.26151812
020908,gm. Ruja,3,31.94962687,6.7,3526.65,7.3,99,64.6,0,84.1,2666,83.94,46,36,16.39781104,51.17184498
021001,m. Lubań,3,45.25473399,5.2,2821.37,5.3,111,62.5,1962,63.8,5395,99.37,120,1339,15.28170914,51.11469933
021002,m. Świeradów-Zdrój,3,44.00321975,5.6,7434.18,8.1,113,64,1420,77.3,2131,106.89,145,206,15.31430886,50.91756195
021003,gm. Leśna,3,39.5474668,6.4,3427.63,10.6,101,57.3,5194,67.1,3462,72.79,88,99,15.27462561,51.01033571
021004,gm. Lubań,3,39.86928105,4.9,3537.01,7.8,99,51.8,0,93.4,2205,82.06,80,46,15.31448915,51.13998033
021005,gm. Olszyna,3,38.91902001,4.7,3780.72,5.7,103,56.1,3270,73.2,3270,83.74,110,139,15.36089269,51.05762324
021006,gm. Platerówka,3,43.15225708,6.1,3506.14,6.2,94,53.6,0,93.6,807,80.33,59,34,15.18306051,51.06387622
021007,gm. Siekierczyn,3,43.40269278,5.1,3171.49,5.5,100,52.5,0,87.8,2268,72.22,83,92,15.18965349,51.1161799
021101,m. Lubin,3,54.93718184,5,4024.21,3.6,109,63.8,2292,57.7,14670,105.73,99,1799,16.1956271,51.39967947
021102,gm. Lubin,3,52.87523532,4.2,4404.77,3.8,99,52.8,0,109.5,2151,58.73,101,52,16.1942235,51.36410307
021103,gm. Rudna,3,50.17126081,4.7,6561.86,5,104,56.7,7699,88.2,1283,88.91,62,36,16.32944881,51.51901222
021104,gm. Ścinawa,3,46.53172056,4.7,3442.24,5.2,100,54.3,3404,74.8,3404,85.25,77,62,16.39305379,51.39688804
